channel,description,local_path,title,video_url,views
Gyan Therapy,These two ,downloads\New Omen & Victus Laptop From HP - RTX 50 Series Gaming Laptop !.mp4,New Omen & Victus Laptop From HP - RTX 50 Series Gaming Laptop !,https://www.youtube.com/watch?v=8AlcvVi0NxM,"35,722 views"
Tech Burner,laptop,"downloads\5 Best Laptops to Buy Under ₹40,000 – Don't Make Mistake !.mp4","5 Best Laptops to Buy Under ₹40,000 – Don't Make Mistake !",https://www.youtube.com/watch?v=HyiFQp-CdWo,"279,999 views"
